hex,type,flight,r,t,desc,ownOp,year,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dst,dir,nav_modes,geom_rate,true_heading,calc_track,time,dbFlags
a01fee,adsb_icao,AAL300  ,N107NN,A321,AIRBUS A-321,UMB BANK N A TRUSTEE,2014.0,32025,31575.0,423.6,249.98,0.0,7153.0,none,A3,,32000.0,0.0,37.386612,-105.685087,8,186,1.112,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],232820535,0.5,-29.3,144.968,193.2,,,,,1742360434.001,
ab741e,adsb_icao,UAL1325 ,N837UA,A319,AIRBUS A-319,UNITED AIRLINES INC,2001.0,33250,32625.0,435.5,307.82,512.0,3542.0,none,A3,1012.8,36000.0,,41.003723,-105.467529,8,186,0.254,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],122884857,0.0,-8.8,78.999,344.1,,,,,1742360434.001,
accb50,adsb_icao,SWA2089 ,N923WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2008.0,23350,22925.0,394.1,271.45,2816.0,1417.0,none,A3,1013.6,26016.0,350.16,39.853604,-105.379089,8,186,0.238,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],121245025,0.1,-2.7,19.205,291.1,,,,,1742360434.001,
a553ce,adsb_icao,UAL1303 ,N442UA,A320,AIRBUS A-320,UNITED AIRLINES INC,1998.0,21275,20950.0,381.6,338.48,1216.0,3226.0,none,A3,1012.8,36000.0,,40.533266,-104.947836,8,186,0.255,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],108603189,0.2,-17.1,47.716,2.3,,,,,1742360434.001,
a413cb,adsb_icao,XSR362  ,N362AS,E55P,EMBRAER EMB-505 Phenom 300,"EXECUTIVE AIRSHARE LLC, KESSENICH DAVID, KESSENICH COLLEN, GREEN",2016.0,12025,11825.0,316.5,130.13,2304.0,3530.0,none,A2,1008.8,23008.0,123.05,39.519265,-104.931152,8,186,0.254,2.0,1.0,10.0,3.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],29421653,0.0,-17.6,13.485,168.3,,,,,1742360434.001,
a19f29,adsb_icao,SWA2643 ,N203WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2005.0,10075,9925.0,288.0,249.05,0.0,6557.0,none,A3,1010.4,23008.0,248.2,39.84938,-104.884086,8,186,0.298,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],125629001,0.0,-8.3,8.232,36.5,,,,,1742360434.001,
ad08bd,adsb_icao,SKW5802 ,N939SW,CRJ2,BOMBARDIER Regional Jet CRJ-200,SKYWEST AIRLINES INC,2003.0,24050,23650.0,358.2,347.75,,5110.0,none,A2,1012.8,30016.0,,40.666592,-104.816499,8,186,0.445,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],58944297,0.0,-9.5,56.249,8.1,,1664.0,,,1742360434.001,
a3689e,adsb_icao,DAL2851 ,N319DU,BCS3,,DELTA AIR LINES INC,2023.0,11550,11350.0,300.1,181.15,,1565.0,none,A3,1012.0,11008.0,174.38,39.832855,-104.807839,8,186,0.298,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],133229511,0.1,-7.3,10.124,56.2,,-1024.0,,,1742360434.001,
a1be79,adsb_icao,AAY711  ,N211NV,A320,AIRBUS A-320,SUNRISE ASSET MANAGEMENT LLC,2013.0,36025,35850.0,396.2,243.95,0.0,6534.0,,A3,1012.8,36000.0,,36.801865,-104.806709,8,186,1.457,2.0,1.0,9.0,1.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],119209463,1.0,-24.7,176.571,177.1,,,,,1742360434.001,
aded25,adsb_icao,FDX1332 ,N997FD,B752,BOEING 757-200,FEDERAL EXPRESS CORP,,ground,,0.0,,,1440.0,none,A4,,,,38.814159,-104.721411,8,186,4.014,2.0,,9.0,1.0,3.0,perhour,,2.0,,,[],[],30835107,2.4,-7.8,56.929,167.2,,,2.81,,1742360434.001,
a2396e,adsb_icao,SWA3359 ,N242WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2006.0,ground,,0.0,,,1462.0,none,A3,,,,38.799477,-104.703872,8,186,6.039,2.0,,10.0,2.0,3.0,perhour,,2.0,,,[],[],128115540,2.1,-1.9,57.971,166.6,,,0.0,,1742360434.001,
a808d7,adsb_icao,ATN3453 ,N617AZ,B763,BOEING 767-300,AMAZON.COM SERVICES LLC,2001.0,5475,5375.0,160.0,0.72,1472.0,,,A5,1011.2,23008.0,352.97,39.869568,-104.696423,8,186,1.183,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],87180877,1.2,-13.6,15.653,59.9,,,,,1742360434.001,
a5aa1c,adsb_icao,SKW5085 ,N464SW,CRJ2,BOMBARDIER Regional Jet CRJ-200,SKYWEST AIRLINES INC,2003.0,12100,11900.0,297.1,6.77,,5177.0,none,A2,1008.8,23008.0,,40.096094,-104.68329,8,186,0.298,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],56364166,0.0,-11.2,25.672,33.3,,1984.0,,,1742360434.001,
ac2bc6,adsb_icao,SWA791  ,N8833L,B38M,BOEING 737 MAX 8,SOUTHWEST AIRLINES CO,2022.0,ground,,0.0,,,3245.0,none,A3,,,,39.863729,-104.68074,8,186,2.571,2.0,,10.0,2.0,3.0,perhour,,2.0,0.0,0.0,[],[],147351676,2.6,-12.8,16.118,62.3,,,270.0,,1742360434.001,
abd90c,adsb_icao,SWA1603 ,N8623F,B738,BOEING 737-800,SOUTHWEST AIRLINES CO,2013.0,ground,,0.0,,,5161.0,none,A3,,,,39.86412,-104.680735,8,186,1.434,2.0,,10.0,2.0,3.0,perhour,,2.0,0.0,0.0,[],[],133894247,0.9,-10.8,16.129,62.2,,,270.0,,1742360434.001,
a5ce40,adsb_icao,SWA599  ,N473WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2004.0,ground,,0.0,,,2725.0,none,A3,,,,39.862879,-104.680603,8,186,0.012,2.0,,10.0,2.0,3.0,perhour,,2.0,0.0,0.0,[],[],113393992,0.0,-14.3,16.1,62.4,,,270.0,,1742360434.001,
a5f208,adsb_icao,,N482WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2004.0,ground,,0.0,,,3552.0,none,,,,,39.864178,-104.678914,8,186,13.135,2.0,,10.0,2.0,3.0,perhour,,2.0,0.0,0.0,[],[],126761973,4.8,-16.1,16.205,62.3,,,270.0,,1742360434.001,
a528d6,adsb_icao,SWA1277 ,N431WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2002.0,9050,8900.0,142.0,6.87,-64.0,1064.0,none,A3,1011.2,8992.0,357.89,39.503158,-104.66394,8,186,0.531,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],133761982,0.1,-19.5,20.704,133.1,,,,,1742360434.001,
a0de36,adsr_icao,OPS11   ,N155QX,,,DENVER INTERNATIONAL AIRPORT,,ground,,14.8,180.0,,,,C1,,,,39.872692,-104.66333,8,186,58.684,,,,,,perhour,,,,,[],[],2774372,58.7,-21.9,17.079,61.9,,,,,1742360434.001,
a376ec,adsb_icao,DAL1049 ,N322NB,A319,AIRBUS A-319,DELTA AIR LINES INC,2001.0,9025,8875.0,166.0,1.04,-768.0,6746.0,none,A3,1012.0,10016.0,0.0,39.654236,-104.662628,8,186,0.087,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],128256784,0.1,-7.1,15.974,108.5,,,,,1742360434.001,
a94ae3,adsb_icao,UAL1915 ,N69804,B739,BOEING 737-900,UNITED AIRLINES INC,2013.0,7150,7050.0,141.0,0.81,-768.0,7335.0,none,A3,1011.2,5504.0,350.86,39.746521,-104.661553,8,186,0.226,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],119693329,0.0,-10.4,15.183,88.2,,,,,1742360434.001,
a791c0,adsb_icao,AAL981  ,N587UW,A321,AIRBUS A-321,AMERICAN AIRLINES INC,2014.0,5425,5400.0,,,,,,A3,,,,39.835262,-104.660522,8,186,51.54,2.0,,,,,perhour,,,0.0,0.0,[],[],107716451,51.5,-22.3,16.271,69.1,,,,0.0,1742360434.001,
a36a10,adsb_icao,UPS801  ,N319UP,B763,BOEING 767-300,UNITED PARCEL SERVICE CO,1997.0,8075,7900.0,284.6,118.55,1344.0,3203.0,none,A5,1011.2,23008.0,352.97,39.896988,-104.638148,8,186,0.254,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],75162437,0.1,-5.1,18.801,59.6,"['vnav', 'tcas']",,,,1742360434.001,
ac01d3,adsb_icao,DAL1064 ,N873DN,B739,BOEING 737-900,UMB BANK NA TRUSTEE,2017.0,8025,7875.0,186.7,313.7,-256.0,3660.0,none,A3,1012.0,8000.0,324.84,39.585571,-104.636416,8,186,0.012,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],125542296,0.0,-24.4,18.778,119.3,,,,,1742360434.001,
aa6fca,adsb_icao,SWA1193 ,N7715E,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2005.0,10750,10575.0,158.1,330.03,-640.0,4165.0,none,A3,1011.2,10016.0,324.84,39.439428,-104.625305,8,186,0.298,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],131342586,0.1,-18.6,24.681,136.7,,,,,1742360434.001,
a455c7,adsb_icao,FFT2632 ,N379FR,A20N,AIRBUS A-320neo,BANK OF UTAH TRUSTEE,2021.0,16325,16025.0,360.5,172.03,2496.0,3270.0,none,A3,1011.2,23008.0,,39.658493,-104.450365,8,186,0.012,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],130718966,0.0,-12.1,25.409,100.8,,,,,1742360434.001,
a2bba8,adsb_icao,UAL767  ,N27515,B39M,BOEING 737 MAX 9,WILMINGTON TRUST CO TRUSTEE,2020.0,12850,12650.0,306.9,237.92,-1152.0,1312.0,none,A3,1011.2,11008.0,236.95,39.923996,-104.449646,8,186,0.254,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],101178536,0.0,-4.7,27.286,65.8,,,,,1742360434.001,
a2479f,adsb_icao,SKW4660 ,N246PS,CRJ2,BOMBARDIER Regional Jet CRJ-200,SKYWEST AIRLINES INC,2004.0,11075,10875.0,368.5,200.99,,5167.0,none,A2,1011.2,11008.0,,39.428879,-104.39824,8,186,0.298,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],9855289,0.3,-17.3,33.131,124.0,,0.0,,,1742360434.001,
a4e876,adsb_icao,UAL772  ,N415UA,A320,AIRBUS A-320,UNITED AIRLINES INC,1994.0,28925,28475.0,414.3,166.03,-64.0,3276.0,none,A3,1012.8,28992.0,,38.905334,-104.285767,8,186,0.087,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],117690663,0.0,-13.8,59.811,146.6,,,,,1742360434.001,
ad4cf2,adsb_icao,SWA4588 ,N956WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2011.0,38000,37750.0,419.9,258.18,0.0,1707.0,none,A3,1013.6,38016.0,241.17,38.475906,-104.274703,8,186,0.012,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],144717565,0.0,-11.3,82.852,156.0,,,,,1742360434.001,
a022c4,adsb_icao,DAL2103 ,N108DN,A321,AIRBUS A-321,DELTA AIR LINES INC,2021.0,36025,35450.0,427.0,234.82,0.0,3630.0,none,A3,1012.8,36000.0,,41.495499,-104.241964,8,186,0.254,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],162732823,0.2,-14.2,110.827,17.7,,,,,1742360434.001,
ad0562,adsb_icao,SWA561  ,N938WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2009.0,14325,14000.0,352.5,84.79,2816.0,3256.0,none,A3,1011.2,23008.0,71.72,39.970357,-104.181415,8,186,0.298,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],142353190,0.0,-9.2,39.782,69.3,,,,,1742360434.001,
a0205c,adsb_icao,SKW5366 ,N107SY,E75L,EMBRAER ERJ-170-200 (long wing),SKYWEST AIRLINES INC,2014.0,29075,28450.0,450.2,14.93,1216.0,2760.0,none,A3,1013.6,35008.0,,41.46217,-104.009996,8,186,0.298,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],98124770,0.0,-12.3,112.688,23.0,"['autopilot', 'vnav', 'tcas']",,,,1742360434.001,
a75634,adsb_icao,DAL781  ,N572DT,A21N,AIRBUS A-321neo,DELTA AIR LINES INC,2024.0,38000,37775.0,412.9,253.54,-64.0,2105.0,none,A3,1012.8,38016.0,,38.797054,-103.712158,8,186,0.254,2.0,1.0,10.0,1.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],101059289,0.0,-17.9,82.034,133.2,,,,,1742360434.001,
a4dd8f,adsb_icao,SWA117  ,N412WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2001.0,31025,30450.0,420.1,109.9,1280.0,3223.0,none,A3,1013.6,40992.0,101.25,39.550642,-103.649597,8,186,0.43,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],126078140,0.0,-19.5,63.009,99.9,,,,,1742360434.001,
a2e28f,adsb_icao,SWA1364 ,N285WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2007.0,35750,35200.0,490.7,47.89,1152.0,3207.0,none,A3,1013.6,36992.0,42.89,41.131348,-103.438721,8,186,0.022,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],137618443,0.0,-15.5,109.609,39.8,,,,,1742360434.001,
407cd1,adsb_icao,BAW3PB  ,G-XWBL,A35K,AIRBUS A-350-1000,,,37000,36825.0,570.6,52.55,0.0,2652.0,none,A5,1013.6,36992.0,43.59,37.41893,-103.386432,8,186,0.255,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],131372585,0.2,-20.6,158.349,151.1,,,,,1742360434.001,
a0b7fa,adsb_icao,UAL1338 ,N14520,A21N,,UNITED AIRLINES INC,2024.0,38025,37875.0,456.8,323.46,0.0,2557.0,none,A3,1013.6,12000.0,0.0,38.295221,-103.218941,8,186,0.022,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],23669812,0.0,-20.3,119.768,135.8,,,,,1742360434.001,
aafda1,adsb_icao,UAL1317 ,N807UA,A319,AIRBUS A-319,UNITED AIRLINES INC,1998.0,33000,32625.0,451.5,150.26,-64.0,1434.0,none,A3,1012.8,32992.0,,37.149536,-103.025753,8,186,0.157,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],118605844,0.2,-20.9,180.859,148.7,,,,,1742360434.001,
